disease,text
Typhoid,experienc lot bloat constip realli uncomfort feel like there lot pressur pain belli area
Typhoid,experienc extrem belli pain constip everi night sever fever along chill headach last coupl day realli uncomfort
Typhoid,ive feel exhaust weak cant seem get rid vomit nausea ive entir lost appetit belli pain caus concern
Typhoid,experienc constip stomach ach realli difficult discomfort gotten wors serious interf everyday life
Typhoid,vomit diarrhea ive lot difficulti stay hydrat high fever well constip headach
Typhoid,abdomin pain frequent realli pain constip vomit also occur im quit worri health
Typhoid,im sever stomach pain constip everi night get headach chill last day realli pain
Typhoid,distinct pain abdomin part sure also go constant vomit feel nauseou
Typhoid,diarrhea quit fluid smelli accompani sever abdomin pain headach time feel like vomit
Typhoid,fever last coupl day start experi sever pain stomach area suffer constip
Typhoid,experienc lot nausea vomit quit difficult eat anyth ive entir lost appetit result becom quit weak
Typhoid,lot troubl sleep high fever headach moreov constant belli pain cant go work
Typhoid,feel realli fatigu weak cant seem get rid mild fever strang pain abdomin area cant understand happen
Typhoid,ive suffer constip stomach discomfort realli uncomfort last night mild fever
Typhoid,ive also suffer diarrhea realli uncomfort come goe accompani stomach ach vomit
Typhoid,ive experienc chill fever extrem stomach discomfort ive gener unhappi cant seem get rid symptom
Typhoid,vomit diarrhea ive lot difficulti stay hydrat mild fever well stomach pain
Typhoid,develop diarrhea accompani sever pain belli area dont feel like eat anyth time mild headach
Typhoid,ive lot bloat constip realli pain lot pressur pain stomach area get high fever chill everi night
Typhoid,ive persist stomach pain past week heal even medic feel like vomit cant eat anyth becom extrem weak
Typhoid,sever stomach discomfort diarrhoea high fever along headach previou sever day realli unpleas
Typhoid,terribl pain abdomin part ive feel realli nauseat im also experienc mild fever realli worri
Typhoid,experienc constip stomach ach discomfort gotten wors serious interf everyday life feel like lost appetit eat anyth
Typhoid,time feel fatigu dont want eat anyth get high fever chill everi night moreov vomit sinc yesterday
Typhoid,lost appetit notic signific weight loss abdomin pain especi area stomach intestin concern health
Typhoid,stomach discomfort sever frequent vomit constip also happen im concern health
Typhoid,experienc diarrhea loos wateri stool sever time day lost appetit feel nauseat time start get mild fever
Typhoid,feel quit weak im lot stomach discomfort constip realli bother strong urg vomit time result cant eat anyth
Typhoid,strang pain stomach area dont know reason behind moreov start get mild fever along chill headach
Typhoid,ive high fever particularli night quit unpleas littl headach well constip diarrhea dont feel like eat anyth
Typhoid,ive lot troubl stay hydrat vomit diarrhea high fever constip headach also start get strang pain stomach area cant anyth physic
Typhoid,get headach past week grow wors accompani stomach pain constip diarrhea dont know happen realli worri
Typhoid,ive lost lot weight last week couldnt eat much due nausea vomit follow high fever headach stomach pain
Typhoid,diarrhea constip quit concern stomach sever pain ach im constantli exhaust dont feel like eat anyth
Typhoid,ive diarrhoea loos wateri stool mani time day ive lost appetit alway sick im also develop mild fever also abdomin part pain lot dont know reason behind
Chicken pox,ive experienc intens itch skin drive crazi also rash that red inflam
Chicken pox,im feel fatigu energi bare keep eye open day ive feel letharg unabl motiv
Chicken pox,ive high fever past day dont know what caus also notic rash skin hard resist scratch
Chicken pox,ive lost appetit cant seem eat anyth im worri health
Chicken pox,small red spot bodi cant explain worri feel extrem tire experi mild fever everi night
Chicken pox,lymph node swollen caus discomfort neck armpit dont know what caus
Chicken pox,im feel realli sick uncomfort like someth wrong insid dont know could notic small red spot arm itch touch
Chicken pox,itch make hard sleep night cant get rest also lost appetit feel letharg
Chicken pox,im worri rash skin spread rapidli caus lot discomfort hardli sleep night itch
Chicken pox,energi lost appetit im feel realli sick dont know what wrong
Chicken pox,skin rash that red inflam spread bodi ive experienc intens itch especi arm leg
Chicken pox,ive high fever past day start worri dont know what caus also red spot arm leg swollen
Chicken pox,skin rash that red swollen spread bodi mild fever caus lot discomfort
Chicken pox,im feel fatigu energi bare keep eye open day ive feel letharg unabl motiv
Chicken pox,small red spot bodi cant explain bump itchi uncomfort seem spread rapidli worri
Chicken pox,itch make hard sleep night cant seem get rest rash itchi uncomfort im feel realli tire exhaust
Chicken pox,energi lost appetit high fever sever headach dont know what wrong
Chicken pox,high fever swollen lymph node caus much discomfort headach feel weak fatigu hard concentr fever
Chicken pox,rash skin caus lot discomfort red inflam spread bodi rash accompani intens itch especi arm leg
Chicken pox,red spot bodi cant explain spot itchi start swell spread rapidli
Chicken pox,small lymph node arm face itch make day uncomfort
Chicken pox,energi lost appetit im feel realli sick dont know what wrong also small red spot start show skin
Chicken pox,ive mild fever past day start worri fever accompani sever headach feel weak letharg
Chicken pox,swollen lymph node red spot bodi caus discomfort also mild fever feel tire time
Chicken pox,ive suffer sever itch bodi drive insan also red irrit rash
Chicken pox,seen rash skin difficult scratch also ive high fever sever day im sure what caus
Chicken pox,littl red spot bodi dont understand worri lost appetit everi night exhaust sever headach
Chicken pox,im feel realli sick lost appetit ive seen littl red patch arm neck face itch touch
Chicken pox,red spot arm leg itch make difficult sleep night also sever headach mild fever
Chicken pox,enlarg lymph node give great deal pain rash bodi cannot sleep night
Chicken pox,skin rash give lot pain discomfort red swollen spread throughout bodi
Chicken pox,high fever mild headach im tire time complet lost appetit
Chicken pox,arm face small lymph node start swell day made realli miser constant itch pain
Chicken pox,arm neck larg lymph node itch touch itch made day extrem uncomfort
Chicken pox,skin rash caus great deal pain also small red spot develop near neck sinc yesterday sever fever headach fatigu
Chicken pox,start develop tini red spot face neck area itch touch itch make day uncomfort
Chicken pox,lost appetit complet cant seem eat anyth feel like vomit feel exhaust notic rash skin realli concern
Chicken pox,high fever sever headach cant seem eat anyth feel like vomit also red spot develop arm realli worri
Chicken pox,im worri red spot skin spread rapidli caus lot problem also develop mild fever headach everi night
Chicken pox,im feel realli nauseou uneasi im sure might ive seen rash arm leg lost appetit feel exhaust everi day
Chicken pox,swollen red lymph node arm leg itch touch im also suffer terribl headach mild fever dont feel like eat anyth lost appetit
Chicken pox,im realli exhaust lack energi hardli keep eye open day mild fever dont feel like eat anyth think lost appetit
Chicken pox,exhaust lost appetit feel vomit cant eat anyth addit littl red spot begin appear skin near neck realli worri health
Chicken pox,small red spot bodi spot itchi uncomfort also mild fever headach
Chicken pox,ive suffer sever itch bodi along fever headach red spot start swell get realli uncomfort everi day
Chicken pox,feel tire everi day red spot arm back itch touch realli worri sure
Chicken pox,high fever swollen lymph node headach caus lot troubl dont feel like eat anyth feel weak fatigu hard concentr daili life
Chicken pox,high fever red spot rash bodi feel exhaust complet lost appetit made weak letharg realli worri
Chicken pox,seen rash arm neck itch scratch ive also high fever day idea caus itch caus lot discomfort
Chicken pox,red swollen spot bodi itch touch moreov also high fever headach alway feel exhaust
Impetigo,develop skin rash face neck rash made red sore blister worri health
Impetigo,develop skin rash made blister sore blister sore rais fluidfil lesion pain touch also suffer high fever
Impetigo,high fever red sore develop near nose sore pain yellow rustcolor ooz come
Impetigo,rash around nose larg red sore notic rash spread part bodi also high fever everi night
Impetigo,suffer high fever last coupl day sore develop near nose sore pain feel uncomfort day
Impetigo,skin develop rash mainli near nose rash spread part bodi realli worri
Impetigo,experienc extrem fatigu high fever rash near nose mouth rash itchi make difficult sleep
Impetigo,suffer extrem fever weak develop sore face sore itchi uncomfort often yellow color ooz come sore
Impetigo,notic sore take longer heal prone infect sore face swollen tender touch uncomfort handl
Impetigo,red sore face near nose notic rash spread quickli neck chest
Impetigo,sore around nose becom crust difficult touch yellowrust colour ooz use come sore take much time handl
Impetigo,develop minor rash near nose day ago rash accompani burn sensat red skin feel kind infect
Impetigo,initi develop small red sore near nose neck high fever sore becom pain inflam past day
Impetigo,notic skin rash face made blister sore today observ yellow color fluid come sore sure
Impetigo,sore face begin weep clear fluid also everi night get high fever chill cannot sleep night
Impetigo,initi rash face near nose rash spread arm leg
Impetigo,high fever everi night develop sore face particularli near nose notic sore take longer heal prone infect
Impetigo,sore around nose surround red inflam skin rash caus skin becom dri flaki visibl yellow color fluid come sore
Impetigo,also experienc flulik symptom fever bodi pain notic red rash blister sore near nose lip itchi uncomfort
Impetigo,suffer mild fever headach small sore near nose rash neck go tough time right
Impetigo,rash particularli bad around nose larg red sore pain yellow rustcolor ooz come
Impetigo,sore face mostli near nose lip sore caus discomfort pain discharg yellow rustcolor fluid
Impetigo,develop sore face nose area sure caus sore face swollen tender touch burn sensat red skin
Impetigo,rash face becom pain inflam past day sore begin weep clear fluid get extrem pain day
Impetigo,rash face start small sore around nose often yellow fluid come sore sore becom extrem pain
Impetigo,feel realli sick high fever headach notic rash arm face extrem worri today observ red sore near nose
Impetigo,ive suffer high fever past day sore form around nose rash differ part bodi sore sever im feel realli uneasi day
Impetigo,high fever realli weak face gotten sore blister itchi pain yellow ooz frequent leak wound
Impetigo,experienc skin rash burn sore blister sore fluidfil elev red color lesion unpleas touch also high fever
Impetigo,believ skin diseas rash face small sore near nose sore becom red pain kind yellow ooz discharg
Impetigo,notic sore face heal slowli like becom infect cheek sore larg pain touch extrem difficult handl cant seem get rid sore
Impetigo,high fever ive skin rash face neck arm rash made burn red lesion im concern health
Impetigo,ive acquir skin rash blister sore blister sore fluidfil elev lesion unpleas touch im also run high fever
Impetigo,im run high temperatur near nose red sore form lesion pain yellow rustcolor fluid ooz
Impetigo,rash around nose well huge red sore rash spread place bodi ive seen addit high temperatur everi night
Impetigo,cheek nose cover red sore ive observ rash neck chest spread faster also develop mild fever
Impetigo,nasal sore crust becom difficult touch wound use leak yellowrust colour fluid take lot longer deal use medic
Impetigo,day ago experienc tini rash around nose rash accompani burn feel skin red discharg fluid believ sort infect
Impetigo,small red sore appear near nose neck first high temperatur sore gotten pain inflam recent day
Impetigo,rash develop around nose lip huge red lesion pain emit yellow rustcolor fluid
Impetigo,face cover sore near nose lip lesion caus discomfort suffer yellow rustcolor fluid ooz
Impetigo,ive start get sore face nose idea caus cheek sore larg irrit touch burn feel skin red
Impetigo,last two day rash face gotten sever inflam blister begun bleed clear pu realli pain deal
Impetigo,feel skin condit face rash littl blister around nose wound turn red pain yellow liquid ooz
Impetigo,ive observ lesion face heal slower prone infect lesion cheek huge unpleas touch incred difficult treat cant seem get sore go away
Impetigo,im run high temperatur ive develop rash face neck arm rash consist pain red lesion health concern
Impetigo,last week rash face gotten sever pain sore begun discharg yellow color fluid becom increasingli pain day
Impetigo,ive rash face im develop littl sore around nose yellow ooz frequent ooz lesion becom even pain
Impetigo,im feel quit ill high fever headach rash appear arm face im quit concern saw red sore around nose lip today
Impetigo,rash face heal tri medic help much recent notic small sore near nose pain difficult handl
Dengue,face sever joint pain vomit develop skin rash cover entir bodi accompani intens itch
Dengue,experienc chill shiver despit warm environ back pain time red spot arm
Dengue,experienc sever joint pain make difficult move perform daili activ also lost apetit feel weak
Dengue,vomit frequent lost appetit result joint back pain time
Dengue,high fever accompani sever headach bodi pain experinc chill everi night distinct pain behind eye
Dengue,feel extrem tire fatigu energi anyth develop rash neck itch upon touch
Dengue,experienc sever headach accompani pain behind eye lost apetit experi chill everi night
Dengue,feel nauseou constant urg vomit strong pain behind eye small red spot arm
Dengue,develop red spot bodi itchi inflam also experienc high fever along chill shiver
Dengue,experienc muscl pain make difficult move around lost apetit feel vomit leg back pain lot
Dengue,experienc back pain wors sit stand long time also rash bodi pain behind eye
Dengue,skin rash develop accompani red swell dont feel well sever fever accompani bodi pain
Dengue,chill shiver experienc accompani feel cold high fever also develop rash arm red spot neck
Dengue,joint pain experienc sever feel like constant ach head ach time start develop mild fever accompani chill
Dengue,vomit experienc accompani stomach cramp dizzi lost apetit feel weak result pain behind eye
Dengue,high fever experienc accompani sweat weak muscl pain result cannot work day
Dengue,fatigu feel extrem make difficult perform even basic task feel vomit develop rash arm neck leg
Dengue,headach experienc sever accompani feel pressur head mild fever along headach small red spot back
Dengue,nausea feel accompani loss appetit feel uneas distinct pain back muscl pain
Dengue,muscl pain experienc sever feel like constant ach red spot bodi itch caus lot discomfort
Dengue,develop skin rash cover entir bodi accompani intens itch bodi pain mild fever acompani headach chill
Dengue,im experienc extrem bodi pain headach vomit ive develop red spot cover entir bodi caus sever itch
Dengue,back hurt time arm neck rash back eye pain lot also fever make worri health
Dengue,ive suffer signific joint pain make difficult walk carri everyday task ive also lost appetit make feel weak feel like vomit
Dengue,constant behind eye develop red spot neck face rash arm arm leg pain lot spot itchi uncomfort worri
Dengue,ive feel sick feel strong need vomit sharp ach behind eye swollen red dot back
Dengue,shiver shiver accompani sensat cold high fever rash arm red patch neck also appear
Dengue,suffer sever joint ach feel vomit time develop moder fever chill fever doesnt seem come even medic
Dengue,vomit ive follow stomach pain dizzi ive lost appetit result feel weak arm back neck pain time
Dengue,develop red spot arm leg itchi inflam feel nauseau constant urg vomit accomapani mild fever
Dengue,develop skin rash cover entir bodi rash red swollen wors certain area arm leg also lost appetit
Dengue,experienc chill shiver strong pain back also behind eye also notic small red spot back neck
Dengue,experienc sever joint pain make day difficult feel like vomit time mild headach
Dengue,vomit frequent lost appetit result rash skin eye pain cannot sleep properli
Dengue,high fever along sever headach fever accompani extrem bodi pain chill worri health dont know
Dengue,feel extrem tire fatigu energi anyth fatigu sever struggl get bed notic small red spot arm leg
Dengue,experienc sever headach accompani pain behind eye feel tire fatigu cannot work day worri health
Dengue,feel nauseou constant urg vomit accompani mild fever headach
Dengue,develop rash bodi itchi lost appetit feel tire day feel someth wrong bodi
Dengue,experienc muscl pain headach muscl pain feel like constant ach wors tri use affect muscl small red spot develop face neck arm
Dengue,back hurt rash arm armpit back eyebal hurt lot also mild fever make us concern health
Dengue,experienc high fever chill everi night realli concern moreov dont feel like eat anyth back arm leg pain lot strang pain behe eye cant physic activ
Dengue,result regular vomit ive lost appetit muscl joint back constantli hurt start fever realli worri sure
Dengue,experienc sever fever accompani pain behind eye headach feel tire exhasut cannot work
Dengue,whole bodi pain lot dont feel like eat anyth mild fever get chill everi night also red spot develop back neck
Dengue,joint back pain everyday feel like vomit made weak bodi pain abl focu work dont feel like anyth
Dengue,bodi pain feel extrem lost appetit develop rash arm face back eye pain lot
Dengue,develop rash bodi also experienc high fever along chill headach joint back hurt strang pain back eye
Dengue,feel nauseou constant urg vomit get high fever chill everi night feel terribl also feel lost appetit
Dengue,rash skin itch touch dont feel good joint pain whole day night mild fever get chill cant sleep
Fungal infection,rais lump rash look red inflam discolour area skin differ colour rest skin itch skin
Fungal infection,bodi sever itch follow red bumpi rash skin also darken spot tini nodular breakout happen sever day becom wors
Fungal infection,ive rash skin look like dischrom patch also lot nodular erupt realli bad itch previou week becom wors
Fungal infection,ive rash wont go away bothersom itch skin addit ive seen colordiffer area bump resembl knot lump skin
Fungal infection,rash bodi cant stop scratch skin itchi skin also spot hue alter lump knotlik pimpl
Fungal infection,recent skin quit itchi rash bodi skin also spot hue alter lump knotlik pimpl
Fungal infection,skin itch lot develop rash addit area skin differ hue rest addit firm pimpl breakout skin
Fungal infection,bodi itch like crazi red area addit patch differ tone natur skin skin lump pimpl develop
Fungal infection,skin act recent becom extrem itchi rashespron addit certain spot deviat natur skin tone term hue skin lump bump werent
Fungal infection,arm leg lot red pimpl itchi skin skin also oddlook lesion occasion bump somewhat uncomfort
Fungal infection,itchi skin lot red bump arm leg weird look spot skin sometim bump feel kind hard
Fungal infection,doctor realli itchi rash skin weird spot differ color also bump skin look like littl knot
Fungal infection,doctor skin cover uncomfort rash along odd patch differ hue skin also pimpl resembl littl knot
Fungal infection,lot itchi spot skin sometim turn red bumpi also weird patch differ color rest skin sometim get weird bump look like littl ball
Fungal infection,skin frequent develop itchi bump occasion turn red rough asid skin occasion develop strang pimpl resembl small ball odd spot differ hue rest skin
Fungal infection,doctor red rash keep pop skin continu itch addit ive observ odd colordiffer spot skin well littl nodul skin appear expand
Fungal infection,experienc realli intens itch bodi along red bump skin also weird patch differ color rest skin sometim get nodul look like small bump
Fungal infection,bodi ive scratch much skin becom red develop pimpl addit occasion get nodul resembl littl pimpl well strang patch differ hue rest skin
Fungal infection,ive experienc lot itch accompani rash appear grow wors time also certain area skin differ colour rest ive spot sever lump resembl littl node
Fungal infection,ive lot problem itch accompani rash seem get wors time also patch skin differ color rest ive notic bump look like littl node
Fungal infection,doctor skin cover uncomfort rash odd patch skin differ colour pimpl skin resembl littl knot
Fungal infection,ive itch lot accompani rash look get wors time also patch skin differ colour rest skin well lump resembl littl node
Fungal infection,skin act late becom exceedingli itchi prone rash furthermor sever patch differ normal skin tone term colour lump bump skin werent
Fungal infection,rash appear develop throughout skin accompani recent bout intens itch discomfort skin also dischrom spot littl lump seem appear everywher
Fungal infection,skin alway itch occasion becom quit rough red addit occasion get littl pimpl resembl tini ball certain spot differ colour rest skin sever irrit itch
Fungal infection,lot itch skin sometim get realli red bumpi also patch differ color rest skin sometim get littl bump look like littl ball realli annoy itchi
Fungal infection,pretti irrit itch bodi skin also red bumpi area ive also pimpl resembl small ball spot differ colour rest skin
Fungal infection,ive pretti uncomfort itch bodi well red bumpi area skin also certain patch skin differ hue rest ive pimpl resembl littl ball
Fungal infection,ive realli annoy itch bodi red bumpi spot skin also area differ color rest skin ive bump look like littl ball
Fungal infection,ive pretti uncomfort itch bodi well red bumpi area skin also certain patch epidermi distinct shade rest ive pimpl resembl littl ball
Fungal infection,ive realli itchi late rashi spot skin also area look differ shade rest skin ive bump kind hard
Fungal infection,ive quit itchi recent rashi patch skin also certain region darker colour rest skin ive got firm lump
Fungal infection,ive rather itchi recent rashi blotch skin also certain region dark color rest skin ive got pain lump
Fungal infection,recent ive scratch lot skin cover rashi place addit ive pimpl rather firm certain spot bodi differ shade brown rest skin
Fungal infection,skin realli itchi rashi spot also patch look differ color rest skin ive bump kind hard
Fungal infection,skin realli scratchi rash bodi bump quit firm well area darker shade rest skin extrem unpleas
Fungal infection,rashi area skin realli irrit addit bump fairli firm patch differ colour rest skin
Fungal infection,recent ive scratch lot skin cover rashi place addit spot skin doesnt appear usual shade ive experienc lump quit pain
Fungal infection,ive realli itchi late rashi spot skin also area dont look like normal color skin ive bump kind hard
Fungal infection,ive quit itchi recent rashi place bodi also region dont appear typic hue skin ive experienc firm lump
Fungal infection,ive itch rashi patch skin recent also region dont appear regular tone skin ive experienc pain bump
Fungal infection,recent ive itch lot skin cover rashi patch furthermor region skin doesnt appear usual tone ive experienc lump except pain
Fungal infection,ive constant itch red bumpi spot skin also patch differ color rest skin ive bump kind like littl lump
Fungal infection,red bumpi area skin ive scratch nonstop addit bump resembl littl lump spot differ shade skin rest bodi
Fungal infection,ive lot itch skin occasion turn rash also odd patch skin differ hue rest occasion get littl pimpl resembl nodul
Fungal infection,ive tendenc itch skin frequent turn rash also strang patch skin differ tone rest skin regularli get littl lump mimic nodul
Fungal infection,ive experienc lot itch skin sometim turn rash also strang patch skin differ color rest sometim get littl bump look like nodul
Fungal infection,bodi itch terribl red spot everywher patch also differ tone natur complexion lump pimpl appear skin
Fungal infection,skin realli itchi late occasion erupt rash addit odd area skin differ color rest occasion develop littl bump look like nodul
Fungal infection,red blotch bodi itch horribl patch also differ complexion natur skin lump bump develop skin
Common Cold,cant stop sneez nose realli runni im also realli cold tire time ive cough lot fever realli high like way normal
